scrape_date,scrape_time,product_name,category,competitor_platform,myntra_price,competitor_price,price_delta,price_delta_pct,parity_flag,data_quality,myntra_img_url,competitor_img_url,myntra_url,competitor_url,myntra_method,comp_method,myntra_status,comp_status,floor_used
2026-05-04,2026-05-04 22:45:07,Crocs Crocs Classic Clog Unisex,Footwear,Amazon,4495.0,4495.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/S/stores-image-uploads-eu-prod/d/AmazonStores/A21TJRUUN4KGV/2651b5ad581652f0359195ac1c72abe5.w400.h400._SS200_.jpg,https://www.myntra.com/flip-flops/crocs/crocs-classic-clog-unisex/16977650/buy,https://amzn.in/d/02YyCuZY,requests,requests,200,200,300
2026-05-04,2026-05-04 22:45:07,Crocs Crocs Bayaband Flower Clog Toddlers,Footwear,Amazon,3147.0,3146.0,1.0,0.03,parity,ok,,https://m.media-amazon.com/images/I/61hER3qaz3L._SX395_SY395_QL70_FMwebp_.jpg,https://www.myntra.com/flip-flops/crocs/crocs-bayaband-flower-clog-toddlers/33726518/buy,https://amzn.in/d/05eF9UDF,requests,requests,200,200,300
2026-05-04,2026-05-04 22:45:07,Allen Solly Allen Solly Men Spread Collar Solid Cotton Slim Fit Casual Shirt,Clothing,Amazon,1779.0,1779.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/31xP+tH1VcL._SY445_SX342_QL70_FMwebp_.jpg,https://www.myntra.com/shirts/allen+solly/allen-solly-men-spread-collar-solid-cotton-slim-fit-casual-shirt/31434536/buy,https://amzn.in/d/02wSPBGi,selenium,requests,200,200,400
2026-05-04,2026-05-04 22:45:07,Allen Solly Allen Solly Men Slim Fit Casual Shirt,Clothing,Flipkart,1798.0,,,,,missing_price,,,https://www.myntra.com/shirts/allen+solly/allen-solly-men-slim-fit-casual-shirt/37645619/buy,https://www.flipkart.com/allen-solly-men-solid-casual-brown-shirt/p/itm1b243c720db48,requests,failed,200,200,400
2026-05-04,2026-05-04 22:45:07,Allen Solly Allen Solly Textured Cotton Slim Fit Casual Shirt,Clothing,Flipkart,1425.0,,,,,missing_price,,,https://www.myntra.com/shirts/allen+solly/allen-solly-textured-cotton-slim-fit-casual-shirt/36467851/buy,https://www.flipkart.com/allen-solly-men-solid-casual-brown-shirt/p/itm2a8c1c27651fb,requests,failed,200,200,400
2026-05-04,2026-05-04 22:45:07,Van Heusen Van Heusen Slim Fit Spread Collar Opaque Casual Shirt,Clothing,Flipkart,2491.0,,,,,missing_price,,,https://www.myntra.com/shirts/van+heusen/van-heusen--slim-fit-spread-collar-opaque-casual-shirt/22193654/buy,https://www.flipkart.com/van-heusen-men-solid-casual-blue-shirt/p/itm489fb2aca0107,requests,failed,200,200,400
2026-05-04,2026-05-04 22:45:07,Van Heusen Van Heusen Slim Fit Checked Pure Cotton Formal Shirt,Clothing,Amazon,1299.0,1199.0,100.0,8.34,parity,ok,,https://m.media-amazon.com/images/I/41QKkZzYltL._SX342_SY445_QL70_FMwebp_.jpg,https://www.myntra.com/shirts/van+heusen/van-heusen-slim-fit-checked-pure-cotton-formal-shirt/26238866/buy,https://amzn.in/d/0i7eEvdd,requests,requests,200,200,400
2026-05-04,2026-05-04 22:45:07,Van Heusen Van Heusen Solid Full Coverage Lightly Padded Camisole Bra,Lingerie,Amazon,999.0,999.0,0.0,0.0,parity,ok,,https://m.media-amazon.com/images/I/315NZPo91UL._SY445_SX342_QL70_FMwebp_.jpg,https://www.myntra.com/bra/van+heusen/van-heusen-solid-full-coverage-lightly-padded-camisole-bra/29649340/buy,https://amzn.in/d/0dHwvfqd,requests,requests,200,200,200
2026-05-04,2026-05-04 22:45:07,Van Heusen Van Heusen Slim Fit Semiformal Shirt,Clothing,Flipkart,2046.0,,,,,missing_price,,,https://www.myntra.com/shirts/van+heusen/van-heusen--slim-fit-semiformal-shirt/21334288/buy,https://www.flipkart.com/van-heusen-men-solid-casual-black-shirt/p/itmca92a72a288d0,requests,failed,200,200,400
2026-05-04,2026-05-04 22:45:07,Van Heusen Sport Van Heusen Sport Men Slim Fit Casual Shirt,Clothing,Amazon,3399.0,3299.0,100.0,3.03,parity,ok,,https://m.media-amazon.com/images/S/stores-image-uploads-eu-prod/0/AmazonStores/A21TJRUUN4KGV/16681e92cb2bc41351a9112a58bf8918.w4801.h2701._SS200_.png,https://www.myntra.com/shirts/van+heusen+sport/van-heusen-sport-men-slim-fit-casual-shirt/41221880/buy,https://amzn.in/d/03w6YYvk,requests,requests,200,200,400
